設問No,設問種類,カテゴリ名,行動特性,設問内容
1,,対 自分,関係構築力,チームの課題を的確に把握できているか
2,,対 自分,志・使命感,チームのリスクを考慮して先回りした行動を取っているか
3,,対 自分,外部環境視点,仕事へのプライドを持ち、自分の仕事に対しての喜びを体現しているか
4,,対 自分,関係構築力,自部署方針や戦略について自ら情報を収集しているか
5,,対 自分,経営者視点,職種やグループを超えて、協力・連携を取りながら、業務を遂行できるか
6,,対 自分,主体的意識,グループの方針を理解し、他者に説明できるか
7,,対 自分,関係構築力,業務の目的や計画、期待する役割を相手が分かるように説明できるか
8,,対 自分,志・使命感,新規加入メンバーの成長状況に合わせた業務サポートやアドバイスができるか※研修受講者が新規加入メンバーとの関わりがない場合は「該当なし」を選択ください
9,,対 自分,外部環境視点,これまで培ったスキルやナレッジ、専門性を活かして提案・提言ができるか
10,,対 他者・職場,志・使命感,自身が携わるプロダクトに対する貢献・取り組みを、社内外問わずアウトプットし、プロジェクトやミクシィのプレゼンス向上に寄与てきているか
11,,対 他者・職場,外部環境視点,自身の市場価値を高めるための自己研鑽に努めているか
12,,対 他者・職場,関係構築力,チームの業務目標を達成するために周囲を巻き込み、業務を推進することができるか
13,,対 他者・職場,経営者視点,チームの課題をジブンゴトとしてとらえ、困難な事態が発生しても粘り強く取り組むことができるか
14,,対 他者・職場,主体的意識,チーム内でできることは率先して自分でやろうと、日々行動しているか
15,,対 他者・職場,関係構築力,他人のせい、環境のせいにしないで自ら行動しているか
16,text,,,あなたが感じる$user_nameの「良いところ・強み」は何ですか（記述式）
17,text,,,あなたが感じる$user_nameの「もっと良くなる点や期待、課題」は何ですか（記述式）
